Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
ABSOLUTE CINEMA! ✋🤚 A PIN-TU-RA do Caio Vidal no jogo do acesso da Inter de Bebedouro! #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7635423190310718736,2026/05/02 22:22:47,5144,283,6,56,7
FESTA EM VERMELHO E BRANCO! O Lobo subiu! #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7635423073717456129,2026/05/02 22:22:24,2354,163,6,5,4
É GOL DO PEIXÃO NO ALLIANZ PARQUE!  Rollheiser abre o placar no Clássico da Saudade!  #FutebolPaulista #Santos ,https://www.tiktok.com/@paulistao/video/7635419558198856981,2026/05/02 22:07:40,31251,1135,19,18,28
"PAULINHO ESTÁ DE VOLTA!  Mais de 300 dias depois, o camisa 10 do Verdão vai disputar o Clássico da Saudade!  #FutebolPaulista #Palmeiras ",https://www.tiktok.com/@paulistao/video/7635402846963387668,2026/05/02 21:02:49,5527,270,1,6,8
ESTEVÃO MÃOS DE PEDRA! 🚫🪨 O goleiro do Penapolense garantiu a vantagem no primeiro duelo do acesso. #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7635015449343708432,2026/05/01 20:00:22,2360,71,1,3,2
PAPO DE SAIR DO ESTÁDIO E PAGAR O INGRESSO DE NOVO! 🤌 Toda a categoria de Romário com a camisa do Juventus. #PaulistãoA2Rivalo.,https://www.tiktok.com/@paulistao/video/7634938261663796497,2026/05/01 15:00:24,4352,104,5,1,1
"A EMOÇÃO PÓS APITO FINAL! 🥹 Pode comemorar, @Ferroviária SAF, bem vinda ao Paulistão 2027!  #PaulistãoA2Rivalo #Ferroviária ",https://www.tiktok.com/@paulistao/video/7634736076313120008,2026/05/01 01:55:31,8819,500,8,26,21
Cada vez mais perto do tão sonhado acesso... 🚂🔥 #PaulistãoA2Rivalo #Ferroviária #ZéVitor,https://www.tiktok.com/@paulistao/video/7634700463476116743,2026/04/30 23:37:03,2065,74,3,0,2
"Ele quase perdeu o campeonato por lesão, e terminou como artilheiro e melhor atacante!🔥 Lucas Lima foi um dos grandes destaques do #PaulistãoA3Rivalo.",https://www.tiktok.com/@paulistao/video/7634660115085397256,2026/04/30 21:00:24,1919,51,0,0,2
PRA DEIXAR O LOBO MAIS PERTO DO ACESSO! 🐺🔥 João Gregório marcou dois na vitória da Inter de Bebedouro pela ida das semis do #PaulistãoA4Rivalo.,https://www.tiktok.com/@paulistao/video/7634652363579559175,2026/04/30 20:30:21,2539,101,2,1,7
ACESSO NA RAÇA! 🛡️💪 A defesa do Juventus foi fundamental na volta da equipe pra Elite. #PaulistãoA2Rivalo.,https://www.tiktok.com/@paulistao/video/7634574943979638033,2026/04/30 15:30:20,1938,90,2,0,0
"SÓ AGRADECER, NÃO QUERO NADA NÃO! O Paulinho teve uma reviravolta e tanto, então o acesso teve um gostinho mais especial ainda! #PaulistãoA2Rivalo",https://www.tiktok.com/@paulistao/video/7634180691260935442,2026/04/29 14:00:01,2462,82,3,0,0
"FALA, PROFESSOR! Os escolhidos para levar o Juventus de volta à elite paulista depois de 18 anos! #PaulistãoA2Rivalo",https://www.tiktok.com/@paulistao/video/7634149805844958480,2026/04/29 12:00:17,1212,33,0,0,0
Soltaram a voz e foram para a galera! 🤩 #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7634006014303407376,2026/04/29 02:42:21,1844,67,2,1,0
"MOMENTO ÚNICO! Existem jogos que entram para a história, né? #PaulistãoA2Rivalo",https://www.tiktok.com/@paulistao/video/7634000528422259975,2026/04/29 02:20:53,1409,50,1,0,2
O APITO FINAL SEMPRE CAUSA UMA EMOÇÃO DIFERENTE! 🔥 #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7633999517804727573,2026/04/29 02:17:01,3658,98,1,2,2
"A ADM NÃO SEGUROU A EMOÇÃO! Nada como encontrar o seu ídolo, né? #PaulistasEmCampo 🎥 @sudamericanabr",https://www.tiktok.com/@paulistao/video/7633949682556783880,2026/04/28 23:03:40,7121,277,4,12,3
"COM A PALAVRA, O CRAQUE DA FINAL! 🔥 Yohan Marcellus abriu o coração pra falar da importância do título do Paulistão A3 Rivalo na sua carreira. #PaulistãoA3Rivalo",https://www.tiktok.com/@paulistao/video/7633477084186283281,2026/04/27 16:30:20,2636,68,3,3,4
"No Paulistão Casas Bahia 2026, o Mirassol venceu o São Paulo por 3 a 0! Hoje é dia de duelo Paulista no @brasileirao. Quem vence? 👀 #FutebolPaulista #PaulistãoCasasBahia",https://www.tiktok.com/@paulistao/video/7632727262579690768,2026/04/25 16:00:22,7886,179,1,0,2
"GOLAÇO DE CAMISA 10! Dezinho fez esse belo gol na vitória do Assisense por 3 a 2 sobre o Tupã, na abertura da 2ª rodada do Paulista Sub-23 Segunda Divisão! #FutebolPaulista",https://www.tiktok.com/@paulistao/video/7632508334926712085,2026/04/25 01:50:41,5601,160,2,2,4
JOGADA DE BASQUETE DA BRIOSA! 🏀🤝⚽️ Os detalhes do gol que colocou a Portuguesa Santista de volta ao jogo na ida da final do #PaulistãoA3Rivalo #DestaqueRivalo,https://www.tiktok.com/@paulistao/video/7632456749886311698,2026/04/24 22:30:21,2421,89,1,8,1
Caiuby mostrando que o talento não envelhece…🍷 #PaulistãoA4Rivalo #DestaqueRivalo,https://www.tiktok.com/@paulistao/video/7632062513533701384,2026/04/23 21:00:23,24093,961,5,43,9
A torcida do Marília deu show no primeiro jogo da final do #PaulistãoA3Rivalo! 🤩👏,https://www.tiktok.com/@paulistao/video/7631755902424534273,2026/04/23 01:11:35,7209,478,6,10,14
"NOS ÚLTIMOS MINUTOS! Nos acréscimos, Rafinha buscou o empate pra Briosa! 🤩 #PaulistãoA3Rivalo",https://www.tiktok.com/@paulistao/video/7631753004630248720,2026/04/23 01:00:39,4923,122,4,0,1
