Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
NÃO PASSA ABSOLUTAMENTE NADA! 🔥 A defesa das Sereias da Vila foi sólida e não tomou nenhum gol contra o Palmeiras! #PaulistãoF #Santos #ClássicoDaSaudade,https://www.tiktok.com/@paulistaofeminino/video/7639911412403522837,2026/05/15 00:38:11,22315,262,3,3,16
"CRUZAMENTO, QUE NADA! Essa bola da Evellyn tinha endereço certo... foi quase! #PaulistãoF #Santos #ClássicoDaSaudade",https://www.tiktok.com/@paulistaofeminino/video/7639906970648005906,2026/05/15 00:20:57,5901,108,0,0,3
QUASE GOL DAS PALESTRINAS! 😮‍💨 Quem disser que não viu essa bola balançando as redes... mentiu! #PaulistãoF #Palmeiras #ClássicoDaSaudade,https://www.tiktok.com/@paulistaofeminino/video/7639905285947002119,2026/05/15 00:14:22,4185,80,0,0,5
CINCO! O Corinthians não para! Ariel anota mais um! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7639875885599919381,2026/05/14 22:20:23,2858,123,2,2,0
DE CABEÇA! O Corinthians chega ao terceiro gol! Ana Vitória é o nome da emoção! #PaulistãF2026,https://www.tiktok.com/@paulistaofeminino/video/7639876212961053953,2026/05/14 22:20:05,1671,86,1,1,0
VOCÊ PISCOU E TEM MAIS GOL! Jhonson vai pra rede mais uma vez e anota o quarto das Brabas pra cima do Red Bull Bragantino! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7639875644490403080,2026/05/14 22:19:23,3052,130,2,2,4
É O SEGUNDO DO TIMÃO! Agora foi a vez de Ariel deixar o dela! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7639875332484369665,2026/05/14 22:18:19,4754,235,0,8,8
ARIEL! ARIEL! ARIEL! Hat-trick da camisa 11 do Corinthians! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7639875042884504840,2026/05/14 22:17:03,2929,149,3,2,4
TIMÃO NA FRENTE! Jhonson completa o cruzamento pro fundo da rede e faz o primeiro das Brabas contra o Red Bull Bragantino. #PaulistãoF2025,https://www.tiktok.com/@paulistaofeminino/video/7639874535533186320,2026/05/14 22:16:04,743,48,1,1,1
VENDITO FAZ O QUARTO DAS GUERREIRAS GRENÁS! A atacante entrou no segundo tempo e deixou o dela no jogo! #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7639856868709387528,2026/05/14 21:06:33,776,48,0,0,0
